band t mag emag
W 1.15810185185 17.99 0.05
U 1.36163194444 18.2 0.0632455532034
U 1.36425925926 18.24 0.0728010988928
U 1.36689814815 18.11 0.0632455532034
U 1.36954861111 18.17 0.0824621125124
V 1.41800925926 18.14 0.190262975904
V 1.42064814815 18.24 0.210237960416
V 1.42328703704 18.19 0.200249843945
V 1.42592592593 18.56 0.270185121722
B 1.47440972222 18.61 0.181107702763
B 1.47704861111 18.15 0.111803398875
B 1.47967592593 18.42 0.13152946438
B 1.48231481481 18.27 0.111803398875
W 1.48497685185 18.37 0.0565685424949
W 1.48761574074 18.41 0.0565685424949
W 1.49025462963 18.34 0.0565685424949
W 1.49289351852 18.41 0.0565685424949
U 1.54134259259 18.36 0.0921954445729
U 1.54398148148 18.39 0.0824621125124
U 1.54662037037 18.37 0.0824621125124
U 1.54925925926 18.39 0.0728010988928
B 1.5519212963 18.26 0.111803398875
B 1.55456018519 18.13 0.101980390272
B 1.55719907407 18.31 0.111803398875
B 1.55983796296 18.06 0.161245154966
B 2.494375 18.77 0.0824621125124
B 2.56131944444 18.64 0.0728010988928
B 2.62827546296 18.8 0.0824621125124
B 2.76219907407 18.83 0.25079872408
U 3.16518518519 18.93 0.141421356237
B 3.1666087963 18.68 0.181107702763
U 3.23185185185 18.96 0.141421356237
B 3.23327546296 19.02 0.220907220344
U 3.29921296296 19.01 0.141421356237
B 3.30063657407 18.56 0.171172427686
U 3.36586805556 18.95 0.141421356237
B 3.36728009259 18.61 0.171172427686
U 3.43255787037 19.14 0.151327459504
B 3.43398148148 18.89 0.210950231097
U 3.49989583333 19.03 0.141421356237
B 3.50131944444 18.55 0.161245154966
U 3.56655092593 19.08 0.151327459504
B 3.56797453704 18.9 0.210950231097
U 3.63391203704 19.01 0.141421356237
B 3.63533564815 18.63 0.171172427686
U 3.69594907407 18.93 0.161245154966
B 3.69690972222 18.6 0.210950231097
U 3.76552083333 18.88 0.141421356237
B 3.76677083333 18.65 0.191049731745
U 3.8334375 19.12 0.161245154966
B 3.83475694444 18.52 0.171172427686
UW2 3.89253472222 21.92 0.3214031736
V 3.89774305556 18.19 0.220227155455
UW1 3.90299768519 20.45 0.231948270095
U 3.905625 19.08 0.151327459504
U 3.905625 20.45 0.231948270095
U 3.905625 21.92 0.3214031736
B 3.90696759259 18.59 0.161245154966
UW2 3.95989583333 21.98 0.331360830516
V 3.96581018519 18.07 0.190262975904
UW1 3.97175925926 20.55 0.222036033112
U 3.9747337963 21.98 0.331360830516
U 3.9747337963 19.12 0.151327459504
U 3.9747337963 20.55 0.222036033112
B 3.97625 18.23 0.13152946438
UW2 4.02655092593 22.23 0.351283361405
V 4.0333912037 18.33 0.220227155455
UW1 4.04027777778 20.89 0.25179356624
U 4.04371527778 18.9 0.13152946438
U 4.04371527778 20.89 0.25179356624
U 4.04371527778 22.23 0.351283361405
B 4.04546296296 18.41 0.141421356237
UW2 4.09321759259 22.22 0.341320963318
V 4.10005787037 18.25 0.200249843945
UM2 4.10180555556 21.8 0.361247837364
UW1 4.10693287037 20.49 0.202237484162
U 4.11037037037 22.22 0.341320963318
U 4.11037037037 18.85 0.121655250606
